mean_r,mean_g,mean_b
106.08013153076172,148.36859130859375,159.463134765625
102.25,106.37660217285156,143.6698760986328
48.74461364746094,57.8523063659668,49.476924896240234
68.75801086425781,86.69070434570312,116.9375
127.61378479003906,110.94711303710938,110.5705108642578
54.73846054077149,44.96461486816406,45.11692428588867
157.80555725097656,100.3672866821289,60.28703689575195
53.23456954956055,67.14968872070312,121.18672943115234
141.0177764892578,79.11851501464844,81.74518585205078
52.97530746459961,40.436729431152344,66.00463104248047
122.8950653076172,139.92901611328125,97.73919677734376
158.69778442382812,125.0088882446289,82.72740936279297
44.325321197509766,93.99359130859376,133.4551239013672
137.9951934814453,79.48558044433594,110.52884674072266
171.7153778076172,154.69692993164062,105.71538543701172
122.49679565429688,49.00480651855469,42.45512771606445
47.7612190246582,93.72595977783205,69.10416412353516
26.527692794799805,35.65999984741211,77.99384307861328
157.1265411376953,158.3595733642578,171.3302459716797
136.1095733642578,138.168212890625,150.5
105.98815155029295,108.3081512451172,118.94074249267578
69.81944274902344,71.65123748779297,81.06172943115234
36.5216064453125,38.054012298583984,42.15895080566406
13.877037048339844,13.13185214996338,17.183704376220703
