image,patch_index,row,col,exposureTimeNs,iso,gain_r,gain_ge,gain_go,gain_b,m00,m01,m02,m10,m11,m12,m20,m21,m22,mean_r,mean_g,mean_b
Image_1.png,0,0,0,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,99.29808044433594,130.79006958007812,208.51441955566406
Image_1.png,1,0,1,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,92.61378479003906,93.58654022216797,190.3621826171875
Image_1.png,2,0,2,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,50.167694091796875,56.067691802978516,83.28153991699219
Image_1.png,3,0,3,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,69.0272445678711,80.74198913574219,166.25961303710938
Image_1.png,4,0,4,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,123.4022445678711,104.49038696289062,154.6746826171875
Image_1.png,5,0,5,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,55.37230682373047,44.23692321777344,74.42153930664062
Image_1.png,6,1,0,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,139.6404266357422,95.64506530761719,93.68518829345703
Image_1.png,7,1,1,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,52.90277862548828,62.85185241699219,170.2484588623047
Image_1.png,8,1,2,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,131.30667114257812,76.29926300048828,121.72296142578125
Image_1.png,9,1,3,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,50.074073791503906,38.99845504760742,99.81636047363281
Image_1.png,10,1,4,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,124.16512298583984,133.081787109375,148.5154266357422
Image_1.png,11,1,5,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,150.238525390625,122.64592742919922,122.62518310546875
Image_1.png,12,2,0,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,51.51442337036133,85.84615325927734,184.65866088867188
Image_1.png,13,2,1,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,126.34935760498047,76.49198913574219,159.0544891357422
Image_1.png,14,2,2,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,160.27691650390625,144.5,144.84461975097656
