image,patch_index,row,col,exposureTimeNs,iso,gain_r,gain_ge,gain_go,gain_b,m00,m01,m02,m10,m11,m12,m20,m21,m22,mean_r,mean_g,mean_b
Image_2.png,18,3,0,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,166.9351806640625,160.71450805664062,175.28086853027344
Image_2.png,19,3,1,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,145.91357421875,139.7345733642578,153.74073791503906
Image_2.png,20,3,2,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,115.50962829589844,110.84444427490234,123.08148193359375
Image_2.png,21,3,3,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,77.04938507080078,72.62191009521484,83.02468872070312
Image_2.png,22,3,4,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,45.8271598815918,42.709877014160156,48.27006149291992
Image_2.png,23,3,5,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,19.377777099609375,16.40148162841797,19.465185165405273
Image_3.png,0,0,0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,106.08013153076172,148.36859130859375,159.463134765625
Image_3.png,1,0,1,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,102.25,106.37660217285156,143.6698760986328
Image_3.png,2,0,2,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,48.74461364746094,57.8523063659668,49.476924896240234
Image_3.png,3,0,3,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68.75801086425781,86.69070434570312,116.9375
Image_3.png,4,0,4,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,127.61378479003906,110.94711303710938,110.57051086425781
Image_3.png,5,0,5,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,54.738460540771484,44.96461486816406,45.11692428588867
Image_3.png,6,1,0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,157.80555725097656,100.3672866821289,60.28703689575195
Image_3.png,7,1,1,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,53.23456954956055,67.14968872070312,121.18672943115234
Image_3.png,8,1,2,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,141.0177764892578,79.11851501464844,81.74518585205078
Image_3.png,9,1,3,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,52.97530746459961,40.436729431152344,66.00463104248047
Image_3.png,10,1,4,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,122.89506530761719,139.92901611328125,97.73919677734375
Image_3.png,11,1,5,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,158.69778442382812,125.0088882446289,82.72740936279297
Image_3.png,12,2,0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44.325321197509766,93.99359130859375,133.4551239013672
Image_3.png,13,2,1,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,137.9951934814453,79.48558044433594,110.52884674072266
Image_3.png,14,2,2,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,171.7153778076172,154.69692993164062,105.71538543701172
Image_3.png,15,2,3,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,122.49679565429688,49.00480651855469,42.45512771606445
Image_3.png,16,2,4,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47.7612190246582,93.72595977783203,69.10416412353516
Image_3.png,17,2,5,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.527692794799805,35.65999984741211,77.99384307861328
Image_3.png,18,3,0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,157.1265411376953,158.3595733642578,171.3302459716797
Image_3.png,19,3,1,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,136.1095733642578,138.168212890625,150.5
Image_3.png,20,3,2,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,105.98815155029297,108.30815124511719,118.94074249267578
Image_3.png,21,3,3,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,69.81944274902344,71.65123748779297,81.06172943115234
Image_3.png,22,3,4,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,36.5216064453125,38.054012298583984,42.15895080566406
Image_3.png,23,3,5,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.877037048339844,13.131852149963379,17.183704376220703
